,SquareFootage,NumBathrooms,BackyardSpace,CrimeRate,SchoolRating,AgeOfHome,DistanceToCityCenter,EmploymentRate,PropertyTaxRate,RenovationQuality,LocalAmenities,PreviousSalePrice
1544,550.0,1.082267059,192.6,34.62,5.87,86.63,48.12,99.29,1.89,2.65,5.55,46990.28354
1545,790.7,3.788925989,498.91,38.64,4.06,86.05,41.41,93.65,0.93,4.82,1.61,189668.507
1546,550.0,1.969038671,354.63,36.38,10.0,50.07,20.66,94.29,1.21,4.86,2.6,108712.7367
1547,594.91,1.306961482,645.44,38.01,2.21,14.38,45.92,88.14,0.94,2.2,5.52,28701.33948
1548,632.61,3.226955703,408.07,29.34,7.98,85.38,35.24,95.69,1.28,6.63,6.31,351889.3731
1549,571.32,1.0,46.44,6.49,5.28,40.84,14.63,88.62,1.5,1.01,0.68,49422.98281
1550,550.0,1.98910273,214.69,26.01,6.87,58.66,23.64,95.57,1.27,1.41,5.84,118013.7576
1551,697.91,1.620827291,485.98,1.36,5.06,40.3,25.53,93.92,1.44,3.6,3.11,54628.70202
1552,714.31,1.0,380.52,32.9,5.5,73.3,28.85,92.22,1.7,1.56,0.67,381483.2368
1553,1261.43,3.474079651,326.72,52.91,7.24,33.88,9.32,99.9,2.29,5.48,4.6,158167.546
1554,550.0,1.457079367,213.87,20.44,5.62,25.98,3.98,98.67,1.47,3.81,10.0,76275.3186
1555,711.33,2.350634003,571.29,66.96,5.0,5.4,0.52,88.44,0.95,4.54,6.37,123542.7929
1556,761.64,3.212189397,811.58,6.78,9.36,74.82,34.44,96.16,1.38,8.6,6.43,204613.7284
1557,1301.32,1.44372734,701.13,3.54,8.65,6.28,11.38,99.9,1.13,6.51,8.97,377284.1516
1558,1078.07,1.0,579.4,8.36,6.3,52.26,12.18,98.92,2.12,2.97,5.1,213616.2937
1559,758.47,1.262706224,245.91,0.37,8.41,41.65,13.94,87.99,1.59,2.43,8.08,123377.7762
1560,550.0,1.656988,437.87,46.24,6.83,142.29,1.15,87.74,1.5,4.27,2.23,159061.2775
1561,550.0,2.496739991,222.52,48.93,6.21,56.84,25.34,99.44,1.45,4.03,8.27,31103.3638
1562,550.0,1.0192618,249.64,28.0,7.78,37.67,23.21,91.28,2.13,3.79,8.08,32633.47564
1563,632.25,1.268074488,575.53,15.28,5.24,14.13,17.2,90.94,2.28,0.31,6.88,-8239.721048
1564,1232.61,1.738186651,473.43,44.28,4.12,18.37,17.33,93.21,2.16,3.86,4.79,233923.1774
1565,550.0,1.0,518.19,52.16,5.43,29.55,4.55,91.26,1.58,0.65,8.09,227343.9593
1566,550.0,3.457376121,787.11,48.3,6.4,26.32,23.66,90.3,2.04,5.26,7.4,158814.8973
1567,935.67,3.119035746,272.8,26.2,5.97,72.45,45.36,92.73,1.99,4.83,6.64,199375.4755
1568,724.56,1.88046612,657.44,25.11,6.21,83.92,16.81,95.44,2.41,3.17,7.54,41842.93369
1569,1296.57,1.034617663,200.16,14.42,9.42,98.3,42.02,96.18,0.94,4.25,0.33,11138.22858
1570,550.0,1.662954171,867.99,45.08,6.71,79.37,14.72,92.22,1.19,4.96,0.11,78858.28945
1571,550.0,1.650916683,36.3,33.08,7.7,0.45,17.05,94.62,1.81,4.86,6.61,95064.7711
1572,550.0,1.0,188.62,43.12,5.43,58.95,50.42,96.05,2.0,3.35,2.59,229482.455
1573,550.0,1.690192474,573.81,32.7,8.36,82.24,48.37,99.9,2.33,6.57,10.0,154441.3792
1574,800.7,1.207504366,165.21,59.26,6.04,16.69,2.93,94.49,1.58,3.31,1.18,109959.2055
1575,611.64,2.409814069,583.16,25.03,9.22,44.69,15.21,94.28,1.05,3.5,7.4,25882.86881
1576,1018.85,2.096184823,340.4,27.25,6.15,74.12,28.91,89.68,2.33,3.83,10.0,457585.2415
1577,550.0,1.103585987,677.67,40.06,7.08,1.59,2.06,94.5,2.02,3.4,8.06,7666.795315
1578,777.06,1.0,581.88,25.54,3.84,49.67,7.86,91.97,2.11,1.02,6.7,137261.3931
1579,1604.33,2.744919779,284.84,5.26,9.26,76.78,31.67,86.14,0.79,5.53,4.03,391905.8819
1580,1021.28,1.588290693,31.4,14.06,6.03,97.46,16.94,99.9,1.81,4.4,2.56,37249.18079
1581,608.41,2.425928202,500.72,59.42,4.59,133.6,30.95,87.55,1.85,3.41,1.6,72050.01134
1582,942.63,1.286907664,166.58,32.47,9.31,28.16,7.47,90.82,1.38,5.08,10.0,156247.5541
1583,550.0,3.220149471,340.36,14.6,5.76,51.41,12.25,93.09,1.67,5.18,7.74,138648.2066
1584,611.44,1.603694175,610.95,52.23,5.67,84.08,12.89,97.02,1.77,6.58,7.15,249175.0575
1585,550.0,1.141155107,316.35,24.44,4.36,3.09,28.08,99.88,1.48,1.76,6.14,20155.61318
1586,1090.17,1.629654739,308.17,9.42,6.98,82.51,21.9,99.03,1.58,6.24,9.29,316537.7371
1587,1068.3,1.0,629.24,38.4,4.16,24.07,22.23,91.87,2.2,5.96,8.17,193122.5853
1588,846.7,2.884682959,519.02,13.62,6.7,10.97,39.44,99.9,1.0,4.46,6.19,66485.69605
1589,812.92,2.334141309,212.02,55.64,6.77,2.86,7.83,98.55,1.48,5.19,6.8,293960.1251
1590,550.0,1.0,173.52,5.12,3.46,84.68,12.89,99.9,2.0,4.88,2.23,111433.2985
1591,781.49,2.063206208,539.35,5.11,6.09,45.32,22.52,96.38,1.13,5.16,7.64,307301.0156
1592,717.8,1.0,524.78,33.84,5.74,78.09,20.54,93.32,1.53,4.75,4.81,59680.49372
1593,734.98,1.431686906,349.9,3.66,5.17,59.1,48.91,95.18,1.25,3.51,3.76,140084.4514
1594,781.03,2.104892945,311.18,31.48,8.14,124.24,6.38,88.7,2.46,6.39,9.28,128072.156
1595,550.0,2.064982758,875.53,19.08,4.66,48.38,0.51,91.91,0.95,3.7,4.89,43043.04249
1596,736.17,1.0,962.13,28.98,5.79,33.47,17.49,92.53,1.66,2.49,5.02,16039.20848
1597,651.19,1.986351784,285.4,46.53,6.42,33.06,13.24,97.83,1.87,3.11,3.71,48380.39167
1598,1536.98,1.0,267.89,23.77,6.84,93.62,25.63,93.45,2.04,5.3,7.1,64238.44087
1599,803.03,1.419109694,381.95,2.6,7.11,61.83,41.89,99.46,1.17,4.16,9.17,174861.1223
1600,692.84,1.855488365,248.6,39.27,5.63,26.82,31.67,95.32,1.34,2.75,9.22,115118.6262
1601,1107.8,1.328256705,230.53,24.96,5.31,76.35,26.52,91.75,1.28,4.43,4.93,182958.9357
1602,580.3,2.77300115,59.3,4.45,7.69,64.01,6.16,91.3,2.37,5.63,4.52,197539.4311
1603,1017.19,1.703067719,300.08,18.21,5.79,46.61,3.9,89.36,2.07,5.13,7.76,210598.8555
1604,637.66,1.144810167,427.73,30.98,7.1,47.63,45.46,96.19,1.12,2.59,6.55,143789.1121
1605,550.0,1.0,867.01,40.43,4.65,51.71,34.98,84.17,1.71,3.49,6.22,58912.65077
1606,597.77,4.239372901,236.83,5.14,7.06,23.25,13.65,86.75,2.27,4.17,0.63,64612.57097
1607,579.94,1.494851104,218.13,34.63,6.53,13.91,19.74,94.2,1.4,2.34,10.0,21869.13884
1608,550.0,1.837786078,544.57,20.38,5.96,30.74,24.17,94.31,1.05,0.47,3.92,147723.697
1609,615.55,1.457482659,286.22,41.23,6.94,43.96,11.08,96.66,2.08,4.35,8.13,235603.6163
1610,907.08,1.572131354,81.64,23.46,3.26,45.71,32.25,87.67,1.06,0.68,6.78,14314.1817
1611,550.0,2.451438207,174.71,35.96,3.47,107.04,52.99,91.99,2.3,0.53,0.28,232106.7543
1612,585.01,2.237696216,536.05,23.38,8.87,65.9,20.22,98.71,1.02,5.3,7.81,140944.4679
1613,1025.84,1.708735613,281.77,13.57,5.03,30.3,20.69,96.57,1.9,5.84,5.53,190206.1275
1614,1168.67,1.733532631,750.11,2.21,6.12,56.8,7.21,95.52,1.21,7.03,3.49,116372.7315
1615,1348.07,1.0,36.94,23.95,10.0,21.52,23.56,92.8,2.2,7.11,10.0,203193.2209
1616,1188.27,1.0,520.48,13.98,5.53,68.48,14.23,97.75,0.92,6.98,10.0,216122.1748
1617,1791.91,2.449677838,552.15,44.82,8.56,72.22,18.3,98.96,2.28,7.18,6.99,556095.5632
1618,550.0,1.515961278,129.04,31.96,5.51,21.36,11.46,94.35,1.85,6.21,2.66,186088.4746
1619,1226.59,2.047566352,900.44,5.32,7.48,12.87,20.06,98.24,1.0,6.33,8.28,130453.5625
1620,1168.46,1.0,13.21,29.58,3.46,51.98,12.09,89.53,1.73,5.73,8.36,40447.49944
1621,776.67,2.645258722,152.43,68.04,6.81,101.03,41.73,91.15,2.16,4.4,6.68,245817.3171
1622,1377.31,3.368342766,505.29,3.31,6.94,36.77,3.27,96.75,2.01,6.04,10.0,639221.7557
1623,1209.53,1.710287652,279.59,32.14,7.09,4.06,1.76,92.16,1.63,4.35,6.46,149938.0098
1624,550.0,2.83115968,947.97,11.06,6.27,32.93,6.57,88.19,1.83,4.73,7.25,156641.365
1625,696.71,1.0,1109.8,50.24,7.01,56.54,31.78,96.92,1.4,3.22,9.13,59232.90194
1626,550.0,1.224303549,826.02,37.92,4.97,96.83,8.08,96.82,1.39,3.78,1.48,65853.61689
1627,954.69,1.838261156,686.22,43.88,2.77,38.87,15.23,80.39,1.96,0.15,1.22,238567.3987
1628,550.0,1.0,304.95,22.78,5.22,51.86,13.7,97.18,2.17,3.95,6.25,53931.26127
1629,830.58,2.426807833,902.26,4.65,8.12,7.52,13.22,98.9,1.77,4.32,4.25,898.7966815
1630,1084.17,1.0,719.87,33.1,7.25,85.57,9.76,91.63,1.9,0.68,8.61,121207.2502
1631,1032.15,1.746372783,485.19,5.58,5.77,10.89,41.37,93.58,2.23,3.9,4.56,166617.2444
1632,1330.19,1.353995462,1112.81,28.24,9.0,53.99,8.55,99.9,0.02,4.83,5.84,333195.2274
1633,550.0,2.556681359,692.34,34.74,4.81,140.48,40.92,84.22,2.19,1.04,2.5,115122.1545
1634,550.0,1.917773456,290.65,27.16,6.97,108.3,0.82,92.38,1.09,1.27,8.98,126751.1874
1635,550.0,1.804812959,118.39,40.76,6.83,39.43,19.43,95.96,1.38,4.03,1.34,153018.1354
1636,1501.09,2.684549923,103.56,63.79,7.79,57.21,9.92,92.79,1.04,3.23,1.62,209483.7264
1637,550.0,1.558136429,438.7,0.47,7.3,30.85,29.77,99.9,1.16,3.81,6.18,57139.69919
1638,961.1,1.0,296.34,31.93,6.66,72.6,34.04,96.4,1.64,4.09,7.76,45286.14571
1639,663.49,2.213933244,455.37,16.97,5.15,66.77,27.23,98.3,0.81,4.37,2.67,113184.446
1640,571.26,1.0,800.59,27.25,5.58,41.18,10.58,98.17,1.79,1.23,5.56,146489.6918
1641,620.84,1.762192488,17.86,19.36,5.13,32.53,6.75,88.01,1.27,4.53,1.88,173863.2991
1642,1327.08,1.808288819,84.94,62.88,4.8,77.01,20.69,81.44,1.29,4.01,3.29,38544.36169
1643,876.12,1.725063976,1248.47,21.6,6.79,55.92,17.08,92.4,0.96,6.48,6.65,199628.4913
1644,1062.03,2.554509378,248.15,35.38,7.43,28.6,33.31,95.82,1.59,6.07,4.79,287530.9258
1645,1581.77,1.714548057,847.84,22.96,8.86,38.8,19.05,96.94,1.6,7.32,7.42,344310.3892
1646,767.77,1.059284265,1045.55,20.16,7.52,30.16,1.45,95.77,1.41,5.38,5.63,210389.2184
1647,901.94,1.412150908,1023.35,10.8,9.36,33.02,26.46,96.55,1.94,4.61,8.55,199328.9394
1648,1004.4,1.476278262,101.47,42.66,7.36,98.74,7.09,95.29,1.1,5.96,4.32,231064.7232
1649,550.0,1.854716057,319.62,7.15,7.11,13.66,27.62,94.87,1.37,5.49,9.99,144741.6853
1650,1309.32,1.0,99.36,16.29,7.66,33.73,27.36,98.46,1.91,6.22,8.28,141262.4938
1651,793.32,1.0,304.51,46.85,9.18,39.23,24.07,97.7,0.85,6.67,8.97,170273.1303
1652,642.03,2.705119611,582.14,83.69,4.4,126.93,35.44,96.86,2.11,3.4,5.22,46409.87623
1653,550.0,1.32173432,457.16,28.86,8.65,73.96,0.1,91.52,1.46,5.06,5.98,107490.4625
1654,617.7,2.589370728,207.87,43.92,4.25,67.16,22.0,89.72,2.22,4.35,8.53,31268.77384
1655,682.2,1.0,916.07,7.85,6.3,29.74,15.17,86.76,0.92,1.73,2.94,90912.15383
1656,598.21,1.0,433.83,49.93,7.05,10.66,8.89,93.02,1.62,6.71,3.04,67913.49848
1657,550.0,2.017263836,685.3,56.18,4.71,42.2,5.59,91.39,1.42,4.96,2.41,130354.3742
1658,550.0,3.44403685,879.06,31.85,7.99,42.28,5.9,90.0,1.81,3.71,9.22,90074.10311
1659,848.39,1.0,42.21,58.47,7.43,80.19,43.58,95.5,0.98,1.58,4.49,70526.99416
1660,1645.35,2.511600878,560.93,7.52,9.15,27.54,5.29,92.67,0.93,5.76,7.55,346422.3733
1661,1161.71,4.002728863,774.41,0.81,10.0,74.0,19.17,91.74,0.81,8.0,6.79,334317.621
1662,1539.74,1.284889485,595.27,20.27,5.46,64.99,32.9,96.25,1.5,3.84,1.69,339288.323
1663,645.62,1.173372218,451.04,21.4,6.66,42.16,52.21,98.46,2.35,4.89,5.54,113315.9328
1664,832.15,2.66667281,582.44,34.82,5.04,50.42,6.5,91.72,1.38,3.88,5.92,144102.8131
1665,550.0,1.0,631.84,71.08,5.92,119.62,44.1,96.17,1.52,2.39,1.75,31516.23512
1666,550.0,2.521945674,322.83,25.89,7.57,80.67,18.43,94.06,1.35,4.73,5.54,111692.261
1667,550.0,2.514087024,322.77,29.04,6.68,30.58,29.27,97.48,2.61,7.36,4.97,165592.7666
1668,550.0,2.21754523,17.11,34.23,5.86,97.65,44.72,95.08,1.33,4.28,1.63,160505.1596
1669,550.0,2.802106091,839.33,51.3,6.62,54.43,34.23,99.17,1.46,3.38,0.71,68947.38787
1670,550.0,1.0,585.79,44.71,3.43,69.27,24.02,93.38,0.55,2.15,7.67,102010.3738
1671,1002.54,1.506268597,352.38,38.16,5.66,70.78,14.73,90.61,1.8,2.83,5.31,24421.74728
1672,550.0,1.982029985,755.2,20.61,7.23,13.46,0.46,91.51,1.78,5.18,9.66,254820.3219
1673,968.63,1.0,955.04,16.35,6.59,43.74,12.92,98.05,0.53,4.79,3.01,131509.4889
1674,550.0,1.461690019,293.15,22.66,6.85,94.31,42.5,92.68,1.52,6.21,10.0,74975.15547
1675,1152.41,2.690550165,676.01,33.51,6.92,78.97,35.07,94.89,1.01,3.45,7.7,115548.2401
1676,1313.71,1.439125208,839.16,39.14,7.96,83.71,22.42,96.84,1.38,5.48,0.41,154763.4133
1677,605.11,1.0,372.46,39.48,3.63,8.32,4.26,93.74,1.52,2.24,7.5,16828.77238
1678,570.62,2.765106183,215.78,46.15,7.37,39.43,36.54,94.45,1.34,5.63,4.94,268033.2901
1679,550.0,1.688837923,544.76,14.29,2.58,71.68,3.25,87.11,1.74,3.14,6.53,75699.56691
1680,550.0,2.176413203,306.83,4.42,5.63,81.51,25.18,98.5,1.7,4.46,5.94,69090.16399
1681,550.0,1.41478699,426.75,3.62,6.92,50.79,17.62,94.55,0.99,3.07,9.9,90079.39297
1682,1044.95,1.830649008,1041.04,44.45,10.0,17.26,14.58,98.07,1.04,6.75,5.69,402650.454
1683,972.63,2.630517468,511.34,31.4,5.32,74.77,45.34,96.12,1.51,5.22,4.45,62319.30542
1684,1251.83,1.595622428,279.62,36.03,6.96,2.59,27.09,99.9,1.76,7.11,4.26,191738.722
1685,1266.86,1.31267576,420.43,4.4,9.33,15.76,30.19,98.21,1.3,5.4,9.98,295327.6615
1686,637.9,1.591412517,341.58,3.82,5.3,24.58,23.91,94.01,1.27,6.35,6.7,143905.4582
1687,707.78,1.0,892.92,51.71,7.62,73.75,34.67,92.82,0.99,4.17,7.52,138558.9306
1688,952.41,1.0,253.48,32.81,6.37,56.46,6.42,92.25,1.56,6.92,3.89,109132.6951
1689,1035.83,2.0681476,1.71,29.27,5.19,34.67,20.19,93.4,1.15,1.29,1.0,19660.26532
1690,751.96,2.441461375,810.74,14.93,8.3,4.06,21.83,94.71,1.59,5.53,4.39,210986.8417
1691,1208.75,1.0,574.9,48.69,6.17,5.27,19.73,97.65,1.28,4.43,4.71,65035.45925
1692,914.69,1.374287766,423.72,56.66,6.89,35.24,15.57,98.19,1.34,5.6,6.14,110871.7187
1693,673.11,2.882272998,812.29,67.46,5.66,41.15,34.15,97.71,1.92,4.3,5.89,124167.1582
1694,820.47,1.783050325,678.76,36.6,8.95,24.39,32.53,95.92,0.57,7.84,9.59,129981.4305
1695,837.24,2.252850066,159.38,57.1,9.6,66.66,11.59,85.65,2.33,5.71,6.15,118832.4867
1696,1437.55,1.0,249.77,35.51,6.69,84.98,14.21,84.28,2.62,5.21,4.31,227401.2744
1697,838.09,1.0,226.89,42.48,4.36,46.32,28.58,94.15,1.57,1.83,7.2,65663.62534
1698,1119.46,3.043622103,828.44,26.99,7.05,70.06,23.52,99.65,0.74,6.65,8.08,246008.2978
1699,975.57,1.005480921,197.27,44.83,5.7,79.16,4.66,95.97,0.89,4.4,3.0,55773.54671
1700,591.05,1.903719894,609.33,24.52,5.58,58.93,34.44,98.53,1.26,4.86,5.07,73689.14401
1701,813.05,1.765101757,686.5,27.54,4.04,23.27,6.99,92.49,1.31,3.8,10.0,140309.1966
1702,599.67,1.0,567.3,24.42,7.43,57.67,5.56,95.51,1.91,3.9,8.6,75961.6813
1703,1368.66,1.93432775,671.61,7.14,4.51,17.79,12.37,89.82,1.23,2.53,5.05,283025.7745
1704,1001.09,2.895212104,170.91,50.77,5.55,65.95,22.74,98.03,1.89,4.72,5.37,283785.8909
1705,609.97,1.0,32.79,12.26,8.2,123.09,21.88,96.56,1.76,5.92,9.35,42257.84318
1706,984.42,1.0,418.85,37.17,7.93,32.14,26.94,84.25,2.33,3.87,4.69,86042.28003
1707,1018.91,1.687637652,154.35,60.65,4.21,95.59,35.1,96.77,1.34,2.77,4.05,140059.7426
1708,550.0,3.499145012,528.74,20.07,9.02,56.82,14.92,96.88,1.32,7.03,8.96,155384.2047
1709,550.0,2.638300809,254.76,16.84,6.42,4.98,28.15,99.9,1.97,6.13,1.68,173217.8785
1710,550.0,1.0,521.43,53.48,4.64,46.9,20.44,88.9,2.01,1.59,6.59,1937.573978
1711,550.0,3.288634048,421.2,9.06,4.39,40.52,30.66,97.73,1.87,3.63,7.7,188859.3625
1712,740.01,1.43327002,375.97,41.46,5.54,90.17,27.47,91.81,1.41,3.39,5.15,162732.8489
1713,1653.37,1.376958171,887.74,15.4,10.0,79.82,17.81,99.9,1.81,7.06,1.41,218539.0447
1714,1119.59,1.07063799,713.89,53.98,10.0,14.89,11.41,93.07,0.89,6.17,10.0,289476.7506
1715,1016.62,1.0,540.36,22.6,7.76,101.67,17.39,99.9,2.7,4.79,4.09,148042.7408
1716,609.92,1.810292101,314.15,1.63,2.53,68.06,23.45,93.01,1.87,2.33,2.78,180239.127
1717,550.0,1.504301594,403.16,7.11,9.03,9.24,45.87,98.43,1.71,5.5,3.55,5882.917675
1718,690.15,1.811329898,215.54,7.89,5.13,54.57,29.26,89.36,0.93,0.94,6.91,12116.32176
1719,813.84,1.044756614,1005.25,42.11,3.79,121.45,3.14,91.49,2.12,3.03,4.22,72619.71708
1720,579.71,4.129608975,319.87,42.23,6.73,30.25,29.75,88.05,0.89,4.2,2.79,261973.4112
1721,550.0,1.104816417,126.93,76.62,9.86,52.22,19.77,99.9,1.97,6.93,6.66,51907.85906
1722,601.72,1.0,651.21,47.53,7.86,133.43,9.04,89.64,1.99,6.75,4.79,81994.96269
1723,550.0,1.432989378,278.16,15.87,4.78,40.53,12.2,93.05,0.89,0.14,5.69,4332.825303
1724,550.0,1.126863155,221.67,50.54,8.28,24.7,23.05,95.89,0.83,3.99,5.0,110028.6404
1725,583.5,1.0,821.47,67.66,3.71,90.24,33.41,92.46,1.15,3.11,6.07,61585.24437
1726,550.0,1.0,458.89,49.0,4.22,76.35,7.26,90.91,1.02,3.13,2.18,16088.93035
1727,550.0,1.0,33.49,59.3,5.4,77.55,21.33,94.35,1.68,3.87,7.3,128026.5367
1728,550.0,1.0,82.5,2.01,8.95,25.79,21.11,94.0,1.22,6.56,5.13,192654.8614
1729,696.6,2.053594408,494.14,22.01,9.38,17.56,42.67,96.9,1.73,7.44,8.59,467801.6644
1730,758.94,3.799243774,313.79,4.43,6.57,69.07,11.41,93.37,1.29,4.25,5.07,256044.3747
1731,561.45,1.0,268.08,45.99,7.08,89.56,24.4,95.19,1.92,2.95,6.45,84154.77739
1732,550.0,1.21683801,552.97,34.33,3.88,108.02,20.75,89.01,2.01,0.19,5.35,64132.908
1733,550.0,2.449772377,812.41,24.25,3.46,13.02,20.94,97.22,1.24,3.72,4.4,62811.57198
1734,692.41,1.0,1059.23,42.64,3.86,13.62,24.49,95.06,1.83,3.96,10.0,40774.88886
1735,1328.2,1.973600299,219.01,2.56,5.41,97.62,19.17,88.05,1.88,6.47,6.56,200765.2318
1736,550.0,2.411805451,211.66,29.98,6.68,67.58,33.97,99.9,1.91,6.21,6.79,292716.6151
1737,1048.72,1.872245449,734.51,44.31,6.11,27.38,30.34,95.32,2.06,4.94,5.27,211568.1943
1738,550.0,1.889657826,265.49,30.26,4.36,34.15,54.02,93.0,2.48,2.64,9.79,18207.1855
1739,550.0,2.153863396,529.29,54.31,3.28,51.85,16.28,86.78,2.16,1.1,3.24,115765.1128
1740,581.4,1.0,454.75,9.17,10.0,58.29,27.87,96.59,0.9,4.62,4.15,94932.02301
1741,550.0,2.722173555,160.09,31.51,5.7,96.01,7.36,94.52,1.02,2.85,8.67,254077.9284
1742,581.91,1.93069249,244.02,60.92,4.77,16.24,23.95,89.27,2.36,1.86,5.18,35618.14473
1743,696.07,2.941419896,363.82,41.4,4.38,2.3,6.44,95.98,1.72,1.99,10.0,79893.34452
1744,737.43,1.43683434,564.54,47.35,7.66,74.01,12.82,98.03,2.04,4.39,3.17,102286.3488
1745,896.66,1.542701464,780.08,24.65,6.87,66.69,17.39,91.35,1.61,4.17,6.54,166049.7739
1746,550.0,1.0,408.84,33.92,6.18,66.49,29.53,91.51,2.05,3.18,9.31,151668.6137
1747,1269.84,1.0,509.97,25.79,4.32,80.95,0.02,96.21,1.87,6.41,5.17,114866.6244
1748,878.21,1.66438735,727.94,4.42,7.57,5.44,2.83,93.36,1.15,5.67,8.59,28950.60887
1749,550.0,1.146339559,201.22,52.54,4.66,81.68,19.79,89.04,1.97,0.41,9.12,146827.1836
1750,669.63,1.649247382,79.51,24.6,4.27,54.64,13.31,91.17,1.94,1.03,0.23,115225.9999
1751,811.36,1.441117284,1036.7,21.54,6.68,0.41,18.5,88.53,1.39,4.68,8.07,33502.16591
1752,622.83,1.0,135.44,63.91,6.2,86.7,23.43,93.01,1.24,2.39,0.13,135552.1354
1753,583.36,1.0,594.34,24.75,5.08,17.71,24.1,92.64,1.3,2.42,3.09,110172.4271
1754,929.41,2.230596227,669.98,6.89,8.63,48.78,7.93,98.24,0.91,4.61,0.94,214845.7023
1755,550.0,3.762071405,307.61,10.8,5.54,93.42,23.02,95.98,1.02,2.18,1.37,27563.54598
1756,1419.79,1.217234149,630.85,52.85,5.68,97.86,45.97,91.88,1.2,3.8,5.25,216925.2751
1757,634.09,3.096000186,939.24,14.49,7.09,61.1,14.91,94.69,0.61,4.62,8.7,331136.5415
1758,873.02,1.671878436,32.49,6.9,3.86,8.46,10.77,94.91,0.97,2.97,2.77,113319.7806
1759,550.0,2.284199265,684.24,8.52,2.48,24.54,6.81,98.1,1.78,2.6,6.49,40421.27487
1760,1066.25,1.464714733,993.82,47.32,7.61,78.85,23.71,95.21,2.51,4.03,5.18,307351.5079
1761,550.0,1.173425488,746.43,46.2,7.06,113.42,0.72,90.73,1.96,4.23,10.0,131907.532
1762,680.92,2.978323616,551.7,9.63,6.72,16.79,2.8,85.17,1.52,3.51,5.45,34562.74504
1763,550.0,1.982703247,626.78,13.12,6.38,29.23,3.56,99.9,2.08,5.32,6.43,166754.3776
1764,733.8,4.182527766,274.49,37.07,7.85,45.93,15.06,92.54,1.97,4.46,5.23,376227.7171
1765,831.3,1.0,771.18,37.29,3.48,0.25,14.94,82.66,2.31,1.58,0.95,10234.23708
1766,1299.69,1.085453162,424.48,23.92,6.22,43.32,24.3,90.26,1.05,6.81,4.76,109262.9466
1767,958.81,1.402526547,912.69,32.08,6.28,37.9,12.61,83.23,1.36,3.58,10.0,140400.8381
1768,609.74,1.525296422,487.58,22.79,9.8,20.66,33.56,99.9,1.64,1.43,7.2,125434.9326
1769,661.34,1.994637758,652.11,44.51,5.52,10.59,3.48,89.48,1.74,4.13,5.24,160888.6307
1770,550.0,1.628371929,1160.63,10.75,8.86,16.87,25.09,96.82,1.74,5.09,2.72,267990.7192
1771,550.0,1.0,472.17,2.96,5.91,18.29,16.01,93.16,0.69,2.23,7.46,269025.558
1772,914.61,1.969877996,1014.42,41.4,6.04,81.84,28.04,95.66,1.38,0.52,4.49,141112.0814
1773,1178.57,3.241369504,366.6,56.68,8.31,96.47,17.77,91.28,1.97,5.34,7.47,224021.5703
1774,873.35,1.0,422.64,51.86,4.49,54.69,28.58,99.9,1.45,1.99,3.83,38146.02878
1775,550.0,2.711729564,596.38,40.74,5.45,2.08,27.31,91.07,1.47,4.67,1.06,80460.34962
1776,1341.66,2.27025133,369.36,42.78,7.67,14.17,11.28,99.9,1.13,5.09,2.94,383919.0177
1777,950.3,1.983214114,668.11,5.14,4.39,103.62,15.61,97.38,2.65,2.84,3.37,210723.6302
1778,1358.21,1.0,521.29,51.7,2.8,34.04,14.06,99.61,1.83,5.91,3.92,77043.56593
1779,550.0,2.92510514,753.8,14.54,7.19,29.12,24.19,92.17,2.25,6.72,4.7,202098.7724
1780,550.0,2.12827974,232.4,38.48,6.9,41.46,25.27,88.69,1.6,2.6,2.82,234898.3678
1781,550.0,1.748066533,699.71,32.22,8.06,101.98,16.26,94.4,1.5,3.04,2.67,176564.7709
1782,740.05,1.138505626,400.04,43.7,1.48,53.38,26.24,98.08,1.48,3.62,5.27,5854.219094
1783,550.0,1.534321988,1125.79,41.79,7.01,7.17,38.42,93.87,2.17,1.39,1.04,142934.4577
1784,1335.43,3.100073438,784.03,36.0,6.49,8.56,1.49,87.82,1.54,5.7,8.39,332704.1606
1785,716.33,3.55341871,305.78,42.94,6.29,18.82,6.4,93.91,0.54,3.23,3.02,364040.1582
1786,1415.95,3.254603057,902.29,33.17,6.32,122.91,5.86,91.41,1.09,3.37,9.06,279246.2993
1787,1112.35,2.516874838,858.86,8.25,5.29,58.48,0.57,90.38,1.79,6.64,5.09,152648.984
1788,550.0,1.0,419.73,12.48,8.26,115.89,1.56,99.9,1.39,3.19,7.43,119914.749
1789,786.95,1.027396392,938.74,14.92,7.88,74.98,27.2,95.86,1.55,5.75,3.04,12933.79057
1790,550.0,2.308625151,143.24,27.82,5.65,47.5,30.97,90.53,1.19,4.58,1.87,172892.5003
1791,1722.27,1.0,182.64,10.11,10.0,64.29,19.77,96.03,1.53,5.26,3.43,341024.2617
1792,1040.24,2.782907169,518.55,37.57,5.82,59.55,18.79,89.08,1.43,3.21,2.87,310406.7096
1793,1303.03,1.482595995,758.94,23.55,9.1,66.82,5.21,91.44,0.62,3.07,4.21,154037.5445
1794,1429.28,2.082259354,167.92,11.73,4.4,105.58,41.6,86.59,1.65,1.56,6.72,341183.1146
1795,784.56,2.075916165,1061.5,3.64,9.38,2.66,5.48,97.77,1.19,7.62,9.81,294394.8671
1796,816.02,2.060835151,454.62,36.51,6.85,1.52,25.91,96.23,0.99,3.74,4.25,28555.0099
