SquareFootage,NumBathrooms,NumBedrooms,BackyardSpace,CrimeRate,SchoolRating,AgeOfHome,DistanceToCityCenter,EmploymentRate,PropertyTaxRate,RenovationQuality,LocalAmenities,TransportAccess,Windows,PreviousSalePrice,Garage
1328.2,1.973600299,3,219.01,2.56,5.41,97.62,19.17,88.05,1.88,6.47,6.56,6.0,11,200765.2318,1
550.0,2.411805451,4,211.66,29.98,6.68,67.58,33.97,99.9,1.91,6.21,6.79,5.69,19,292716.6151,1
1048.72,1.872245449,3,734.51,44.31,6.11,27.38,30.34,95.32,2.06,4.94,5.27,6.51,13,211568.1943,0
550.0,1.889657826,2,265.49,30.26,4.36,34.15,54.02,93.0,2.48,2.64,9.79,3.94,10,18207.1855,0
550.0,2.153863396,1,529.29,54.31,3.28,51.85,16.28,86.78,2.16,1.1,3.24,4.44,5,115765.1128,0
581.4,1.0,3,454.75,9.17,10.0,58.29,27.87,96.59,0.9,4.62,4.15,6.66,15,94932.02301,0
550.0,2.722173555,4,160.09,31.51,5.7,96.01,7.36,94.52,1.02,2.85,8.67,4.62,20,254077.9284,0
581.91,1.93069249,1,244.02,60.92,4.77,16.24,23.95,89.27,2.36,1.86,5.18,1.58,21,35618.14473,1
696.07,2.941419896,2,363.82,41.4,4.38,2.3,6.44,95.98,1.72,1.99,10.0,6.98,11,79893.34452,0
737.43,1.43683434,3,564.54,47.35,7.66,74.01,12.82,98.03,2.04,4.39,3.17,3.93,25,102286.3488,0
896.66,1.542701464,2,780.08,24.65,6.87,66.69,17.39,91.35,1.61,4.17,6.54,2.31,18,166049.7739,1
550.0,1.0,2,408.84,33.92,6.18,66.49,29.53,91.51,2.05,3.18,9.31,7.61,9,151668.6137,0
1269.84,1.0,3,509.97,25.79,4.32,80.95,0.02,96.21,1.87,6.41,5.17,4.96,15,114866.6244,0
878.21,1.66438735,1,727.94,4.42,7.57,5.44,2.83,93.36,1.15,5.67,8.59,5.47,13,28950.60887,0
550.0,1.146339559,3,201.22,52.54,4.66,81.68,19.79,89.04,1.97,0.41,9.12,6.82,2,146827.1836,0
669.63,1.649247382,2,79.51,24.6,4.27,54.64,13.31,91.17,1.94,1.03,0.23,5.27,25,115225.9999,0
811.36,1.441117284,3,1036.7,21.54,6.68,0.41,18.5,88.53,1.39,4.68,8.07,6.49,11,33502.16591,1
622.83,1.0,3,135.44,63.91,6.2,86.7,23.43,93.01,1.24,2.39,0.13,0.8,25,135552.1354,0
583.36,1.0,3,594.34,24.75,5.08,17.71,24.1,92.64,1.3,2.42,3.09,6.89,22,110172.4271,1
929.41,2.230596227,3,669.98,6.89,8.63,48.78,7.93,98.24,0.91,4.61,0.94,5.0,6,214845.7023,0
550.0,3.762071405,1,307.61,10.8,5.54,93.42,23.02,95.98,1.02,2.18,1.37,5.02,14,27563.54598,0
1419.79,1.217234149,2,630.85,52.85,5.68,97.86,45.97,91.88,1.2,3.8,5.25,7.39,7,216925.2751,0
634.09,3.096000186,3,939.24,14.49,7.09,61.1,14.91,94.69,0.61,4.62,8.7,7.37,14,331136.5415,0
873.02,1.671878436,2,32.49,6.9,3.86,8.46,10.77,94.91,0.97,2.97,2.77,4.54,10,113319.7806,0
550.0,2.284199265,3,684.24,8.52,2.48,24.54,6.81,98.1,1.78,2.6,6.49,4.38,12,40421.27487,0
1066.25,1.464714733,4,993.82,47.32,7.61,78.85,23.71,95.21,2.51,4.03,5.18,7.47,28,307351.5079,0
550.0,1.173425488,3,746.43,46.2,7.06,113.42,0.72,90.73,1.96,4.23,10.0,6.48,11,131907.532,0
680.92,2.978323616,1,551.7,9.63,6.72,16.79,2.8,85.17,1.52,3.51,5.45,5.63,22,34562.74504,0
550.0,1.982703247,5,626.78,13.12,6.38,29.23,3.56,99.9,2.08,5.32,6.43,7.31,12,166754.3776,1
733.8,4.182527766,3,274.49,37.07,7.85,45.93,15.06,92.54,1.97,4.46,5.23,6.61,12,376227.7171,0
831.3,1.0,3,771.18,37.29,3.48,0.25,14.94,82.66,2.31,1.58,0.95,5.46,12,10234.23708,0
1299.69,1.085453162,3,424.48,23.92,6.22,43.32,24.3,90.26,1.05,6.81,4.76,5.15,30,109262.9466,0
958.81,1.402526547,2,912.69,32.08,6.28,37.9,12.61,83.23,1.36,3.58,10.0,10.0,18,140400.8381,0
609.74,1.525296422,2,487.58,22.79,9.8,20.66,33.56,99.9,1.64,1.43,7.2,8.03,12,125434.9326,1
661.34,1.994637758,3,652.11,44.51,5.52,10.59,3.48,89.48,1.74,4.13,5.24,5.37,12,160888.6307,0
550.0,1.628371929,4,1160.63,10.75,8.86,16.87,25.09,96.82,1.74,5.09,2.72,5.55,15,267990.7192,1
550.0,1.0,1,472.17,2.96,5.91,18.29,16.01,93.16,0.69,2.23,7.46,5.54,15,269025.558,0
914.61,1.969877996,2,1014.42,41.4,6.04,81.84,28.04,95.66,1.38,0.52,4.49,8.16,5,141112.0814,0
1178.57,3.241369504,2,366.6,56.68,8.31,96.47,17.77,91.28,1.97,5.34,7.47,2.89,20,224021.5703,0
873.35,1.0,2,422.64,51.86,4.49,54.69,28.58,99.9,1.45,1.99,3.83,5.79,10,38146.02878,1
550.0,2.711729564,3,596.38,40.74,5.45,2.08,27.31,91.07,1.47,4.67,1.06,3.86,6,80460.34962,0
1341.66,2.27025133,3,369.36,42.78,7.67,14.17,11.28,99.9,1.13,5.09,2.94,5.55,15,383919.0177,0
950.3,1.983214114,3,668.11,5.14,4.39,103.62,15.61,97.38,2.65,2.84,3.37,4.55,17,210723.6302,1
1358.21,1.0,1,521.29,51.7,2.8,34.04,14.06,99.61,1.83,5.91,3.92,6.2,6,77043.56593,0
550.0,2.92510514,4,753.8,14.54,7.19,29.12,24.19,92.17,2.25,6.72,4.7,6.44,9,202098.7724,0
550.0,2.12827974,4,232.4,38.48,6.9,41.46,25.27,88.69,1.6,2.6,2.82,4.17,11,234898.3678,1
550.0,1.748066533,4,699.71,32.22,8.06,101.98,16.26,94.4,1.5,3.04,2.67,5.75,25,176564.7709,1
740.05,1.138505626,2,400.04,43.7,1.48,53.38,26.24,98.08,1.48,3.62,5.27,4.1,19,5854.219094,0
550.0,1.534321988,4,1125.79,41.79,7.01,7.17,38.42,93.87,2.17,1.39,1.04,3.43,28,142934.4577,1
1335.43,3.100073438,2,784.03,36.0,6.49,8.56,1.49,87.82,1.54,5.7,8.39,7.22,11,332704.1606,0
716.33,3.55341871,3,305.78,42.94,6.29,18.82,6.4,93.91,0.54,3.23,3.02,4.38,54,364040.1582,0
1415.95,3.254603057,2,902.29,33.17,6.32,122.91,5.86,91.41,1.09,3.37,9.06,6.21,19,279246.2993,0
1112.35,2.516874838,2,858.86,8.25,5.29,58.48,0.57,90.38,1.79,6.64,5.09,3.65,19,152648.984,0
550.0,1.0,3,419.73,12.48,8.26,115.89,1.56,99.9,1.39,3.19,7.43,5.56,12,119914.749,0
786.95,1.027396392,3,938.74,14.92,7.88,74.98,27.2,95.86,1.55,5.75,3.04,3.35,22,12933.79057,0
550.0,2.308625151,3,143.24,27.82,5.65,47.5,30.97,90.53,1.19,4.58,1.87,1.79,13,172892.5003,1
1722.27,1.0,3,182.64,10.11,10.0,64.29,19.77,96.03,1.53,5.26,3.43,6.48,34,341024.2617,1
1040.24,2.782907169,3,518.55,37.57,5.82,59.55,18.79,89.08,1.43,3.21,2.87,6.57,4,310406.7096,1
1303.03,1.482595995,2,758.94,23.55,9.1,66.82,5.21,91.44,0.62,3.07,4.21,6.95,14,154037.5445,0
1429.28,2.082259354,2,167.92,11.73,4.4,105.58,41.6,86.59,1.65,1.56,6.72,3.12,26,341183.1146,0
784.56,2.075916165,4,1061.5,3.64,9.38,2.66,5.48,97.77,1.19,7.62,9.81,7.1,12,294394.8671,1
816.02,2.060835151,1,454.62,36.51,6.85,1.52,25.91,96.23,0.99,3.74,4.25,2.37,16,28555.0099,1
739.52,1.0,2,242.38,40.47,3.42,70.56,12.92,93.71,1.31,4.34,5.42,6.5,11,55082.70931,0
550.0,1.224968394,2,227.27,42.87,5.83,65.87,26.98,81.66,1.15,4.33,3.47,3.49,24,53230.86602,0
576.38,1.484417754,4,935.22,30.12,8.06,110.8,22.07,99.9,1.96,5.28,3.41,6.11,20,139512.7568,0
550.0,1.355317906,3,403.52,1.88,5.33,50.01,14.23,90.74,1.5,3.54,5.95,10.0,14,140857.3856,0
1573.38,1.672715681,2,948.74,52.98,3.92,43.49,34.38,97.59,0.62,5.33,7.17,6.55,15,313273.5988,0
793.69,1.971337948,3,446.42,34.47,10.0,47.08,5.14,94.54,1.06,7.44,1.15,2.22,12,216402.4859,1
911.36,1.62837391,3,916.49,41.82,5.93,40.53,26.32,96.68,1.41,6.2,2.04,4.12,13,122854.3205,0
550.0,1.79372707,2,573.66,47.17,7.39,19.87,18.69,99.9,2.1,4.34,7.72,7.04,15,155365.8037,0
550.0,3.159740731,1,581.43,1.24,4.55,50.41,22.87,96.36,1.75,1.77,8.24,3.86,7,77934.25627,0
1811.78,1.190795811,4,491.15,3.73,8.05,56.01,6.37,96.72,1.27,5.88,10.0,7.75,14,264211.6154,0
975.15,1.878177558,1,1133.12,10.18,6.32,42.6,10.09,99.9,2.09,4.68,10.0,7.56,14,141203.1033,1
906.8,2.024026542,4,157.3,58.86,3.83,62.14,23.32,89.33,2.02,1.91,2.11,8.11,45,286613.9781,1
926.68,1.297727069,1,358.07,12.14,3.37,9.61,12.01,93.28,1.42,4.16,8.72,9.13,26,-1565.999309,0
943.11,2.144966864,2,780.54,38.12,7.46,72.2,21.59,99.9,1.6,3.25,7.08,6.75,24,121014.9423,0
1315.31,1.0,3,776.44,10.45,5.47,70.14,31.28,94.3,2.05,4.35,0.69,3.34,22,200336.4998,1
550.0,1.167339387,4,181.29,53.97,8.22,9.49,0.12,96.63,1.95,3.95,4.54,9.44,25,100673.0265,1
1821.0,1.82700933,3,553.0,16.65,7.06,51.35,27.59,88.87,2.56,5.32,5.82,5.08,14,292746.7439,1
1348.9,1.0,2,38.59,52.42,5.09,13.55,26.41,86.99,1.76,5.14,8.63,3.63,10,119791.968,1
1348.31,1.0,2,1012.37,10.57,5.63,74.04,17.16,85.52,2.09,2.92,6.6,8.11,13,113221.6296,0
550.0,1.0,3,647.11,36.58,7.28,53.14,6.99,97.86,1.45,1.55,6.19,5.31,9,126565.1268,0
550.0,2.547289104,3,649.63,2.33,6.62,104.11,43.68,97.47,2.51,4.64,7.08,5.11,14,59847.25924,1
1034.3,1.104604041,3,193.7,21.15,8.98,24.45,1.56,98.29,1.68,5.33,5.06,5.78,18,280297.0426,0
738.76,2.216245713,1,676.95,33.2,5.99,0.18,32.29,92.6,1.86,6.25,1.97,4.98,22,30343.05787,0
717.52,1.0,3,706.84,3.49,0.26,30.85,6.98,84.54,2.15,1.9,5.78,3.85,16,169868.8019,0
628.51,3.748410855,2,500.23,11.88,6.27,15.82,47.04,89.15,1.82,4.53,3.85,4.88,6,178423.7066,0
926.39,2.079685221,2,285.3,28.9,7.53,32.13,22.3,92.51,1.61,3.86,10.0,6.77,15,176083.7027,0
550.0,1.0,4,293.84,43.91,7.36,18.44,19.33,80.38,1.22,2.78,9.35,3.76,24,149791.0076,0
1047.19,1.154523323,2,127.56,21.2,0.89,64.43,25.27,86.94,1.85,1.35,9.27,5.63,9,70365.55638,0
995.09,1.435217015,3,106.72,0.57,8.05,53.69,10.07,93.47,0.45,6.7,6.92,8.93,9,201390.223,0
550.0,1.308161431,3,30.37,47.77,6.04,45.94,36.89,95.67,1.61,6.49,3.79,5.67,7,155573.2173,0
777.79,1.845053485,3,165.77,38.98,3.83,21.42,2.71,95.59,1.63,5.06,6.46,1.22,24,131576.4719,1
1028.46,1.0,3,369.83,51.39,5.2,104.99,24.35,99.9,2.44,6.35,7.02,6.48,17,132767.1623,0
767.75,1.56058539,4,457.76,11.5,4.39,64.96,35.85,91.44,1.32,2.68,7.88,3.57,8,123157.6374,1
1184.42,1.03613066,2,374.27,49.89,4.05,48.83,25.91,91.13,2.05,0.35,10.0,6.71,7,85560.50228,0
731.64,1.0,3,830.59,18.57,7.75,24.27,27.73,99.9,2.28,3.71,7.99,6.45,9,112873.4512,1
909.16,1.082539977,3,841.63,14.46,9.76,81.74,12.1,99.9,1.58,4.78,3.18,4.5,34,114450.9894,0
1345.45,1.0,3,690.81,44.58,7.08,80.99,3.44,91.85,1.4,6.91,8.58,5.96,15,179002.6326,0
559.06,1.0,1,494.75,35.66,6.08,35.22,17.84,98.23,0.89,2.68,3.56,4.02,25,105762.5848,1
559.86,3.413926273,3,216.52,26.86,7.67,105.43,26.73,89.37,0.53,3.96,7.7,6.92,25,218166.8716,1
550.0,1.0,2,389.08,18.27,5.05,42.52,22.34,99.9,1.42,3.53,8.5,5.75,4,56208.60556,0
1232.47,3.687720556,2,158.27,45.65,5.21,101.56,11.9,97.1,2.01,3.66,4.25,5.79,45,185329.4178,1
550.0,2.699495232,2,766.08,28.19,4.93,103.67,34.18,89.49,1.51,6.65,2.49,3.08,8,45230.61004,0
1204.99,1.428341872,2,870.73,4.26,9.95,35.86,2.71,99.86,2.24,6.09,7.08,5.71,11,189195.7242,0
1085.44,2.236150281,3,435.75,27.6,10.0,30.29,37.94,84.71,2.39,6.94,5.61,7.51,14,164797.5634,0
550.0,1.0,2,249.49,14.51,10.0,39.08,27.23,95.34,1.72,5.13,7.03,4.31,19,42390.06208,1
612.16,1.0,3,468.01,33.15,7.76,12.93,2.13,97.2,1.12,5.03,5.2,3.59,22,177826.8555,0
919.69,1.464331369,2,875.66,6.51,8.62,42.13,31.65,97.64,1.22,5.41,3.6,5.67,15,47640.12344,0
1074.68,1.434169824,2,100.3,38.25,4.82,19.45,14.82,85.62,2.06,4.98,6.03,6.22,12,84131.6221,0
1070.92,1.0,3,319.64,17.59,7.28,12.8,8.75,96.27,1.35,5.2,7.93,6.43,12,168453.8983,0
613.5,1.0,3,657.78,31.39,8.76,64.14,3.31,99.9,0.9,5.55,1.27,3.41,18,132743.3097,1
1210.02,1.0,2,414.33,53.52,4.95,61.29,22.32,90.66,1.36,4.94,4.93,4.47,19,182303.087,1
550.0,3.16977183,4,712.97,47.21,6.48,79.55,8.86,94.7,2.4,4.23,1.92,3.67,11,251368.8202,1
800.65,1.220462418,2,924.14,28.2,5.8,75.68,26.9,90.85,2.16,3.23,7.01,5.76,12,221897.7729,0
1220.89,1.685337279,4,285.83,33.93,5.37,9.94,13.59,93.85,1.71,3.19,7.26,3.93,18,521970.4384,1
550.0,1.734906141,5,595.84,33.9,9.93,13.87,23.75,94.54,0.46,5.77,6.66,7.3,46,317736.4914,0
794.16,4.136736456,3,213.83,32.69,7.56,108.68,21.95,99.9,1.54,4.99,2.02,3.57,24,346963.3248,0
1452.7,1.77248323,3,58.99,40.47,9.49,34.31,15.61,95.98,2.59,7.83,9.59,7.68,17,342451.2155,1
550.0,1.380551244,4,339.39,25.9,3.95,99.91,33.0,97.12,1.89,4.02,8.45,8.87,17,104263.617,1
550.0,1.996248608,3,922.59,23.84,8.39,106.79,16.78,96.65,1.54,5.58,9.87,9.85,23,142974.7413,0
1188.92,3.7371569,1,835.27,23.92,3.12,71.35,22.24,89.93,2.05,3.79,3.47,6.14,17,278108.4628,1
550.0,2.277071966,3,977.74,37.72,6.28,77.72,22.3,95.06,1.87,2.26,4.32,3.11,12,155156.2905,0
612.23,2.101831983,2,276.9,1.66,6.16,98.88,35.46,94.46,2.11,1.61,4.21,3.85,11,26818.9734,0
810.55,1.0,3,480.0,64.28,4.68,19.0,3.55,89.87,0.79,2.73,6.57,5.21,6,155395.991,1
772.67,1.54147784,3,618.4,41.31,6.88,56.2,4.63,92.9,0.94,5.14,1.8,5.42,8,85920.88035,1
1012.32,1.0,4,256.97,50.62,8.98,59.56,3.9,91.81,1.27,4.96,4.86,4.0,13,342711.0883,1
829.94,1.0,2,759.17,27.17,6.82,25.36,4.59,98.26,0.65,6.37,2.45,6.18,8,57116.15328,1
550.0,1.0,2,716.98,10.94,5.75,81.96,17.69,87.27,2.14,3.68,6.48,7.29,12,78738.46379,1
1029.17,1.0,5,1066.64,26.44,4.85,111.02,16.92,87.9,2.1,2.74,10.0,4.24,6,182394.2512,0
1028.21,2.529603436,2,513.63,28.05,7.45,29.88,38.12,96.3,1.72,2.3,4.81,3.54,20,131420.7855,1
862.58,2.416301984,3,548.0,53.0,8.92,23.81,12.83,99.34,2.21,6.07,3.87,5.23,15,435983.2632,1
775.79,1.0,3,74.17,13.6,6.05,73.88,5.34,82.24,0.55,6.07,10.0,4.85,20,113927.2628,0
1526.32,2.744059964,3,260.44,33.18,8.62,65.07,23.78,98.86,1.42,6.46,7.12,6.35,5,368190.2562,0
550.0,3.679332884,4,173.63,28.86,4.83,46.4,18.66,82.06,2.13,4.5,8.44,6.65,12,276141.5568,1
1532.21,1.581607272,1,472.29,21.53,5.59,15.31,21.49,94.88,1.93,4.29,6.68,6.43,21,164890.2375,0
1288.26,3.830761973,3,168.4,13.93,5.67,18.25,3.88,94.77,1.35,5.29,3.96,2.92,15,403938.3577,0
823.84,4.10201549,2,900.04,46.56,5.51,42.5,3.12,94.86,1.7,6.45,8.73,9.82,14,335042.4614,0
550.0,1.0,3,126.98,57.93,5.0,55.17,5.42,87.98,1.43,3.4,3.92,5.3,20,63848.08423,0
856.29,1.277602031,3,1013.59,36.53,8.28,53.66,31.67,97.43,1.2,4.48,2.83,9.73,10,43330.53023,1
818.58,1.529361563,1,58.83,35.31,6.87,49.41,20.22,86.87,2.44,4.16,2.93,5.07,12,150265.9927,1
550.0,2.206816636,3,561.33,38.25,4.58,21.65,25.98,92.83,1.08,2.28,0.58,1.77,31,116316.5412,0
735.48,1.0,3,812.71,14.21,6.46,33.81,6.29,92.69,1.07,4.38,5.06,4.8,39,101494.3136,1
986.07,2.136617852,3,71.57,24.76,7.23,141.09,19.69,89.45,1.9,6.24,8.2,2.16,11,320729.6216,1
857.2,2.327397291,3,556.04,1.5,8.75,48.03,32.98,85.92,0.97,4.03,4.25,5.91,19,309914.7043,0
550.0,1.0,3,140.74,37.74,4.68,136.57,29.99,95.42,2.61,2.45,3.44,4.1,23,100058.5555,1
550.0,1.0,3,193.11,42.44,6.7,47.25,25.01,99.9,1.88,3.12,4.31,5.21,8,2355.295886,0
822.69,2.370750446,4,536.32,24.25,6.5,91.74,16.02,91.84,1.99,4.37,4.94,3.83,16,204624.7222,1
748.2,1.0,2,662.73,50.88,6.04,44.64,34.45,90.49,1.86,4.53,9.63,6.43,15,60679.20686,0
1031.39,2.252930749,3,985.75,14.48,8.34,62.16,2.9,96.26,1.63,3.36,5.93,2.75,13,195041.0713,1
752.32,2.453775853,2,260.31,58.86,3.56,16.69,11.85,93.61,0.93,3.81,4.66,7.76,13,150506.8542,1
2013.34,1.641978505,2,634.88,26.82,6.74,101.36,37.07,90.25,1.12,2.59,7.07,5.67,13,227632.6904,1
1954.21,1.0,2,25.96,54.84,4.59,32.93,1.07,88.23,1.51,6.45,10.0,6.27,19,264237.169,0
697.88,1.540870924,2,121.1,49.41,4.2,20.57,13.88,89.76,1.49,2.8,7.33,1.83,20,88724.64574,0
1010.28,1.621509322,4,158.03,54.34,8.51,105.2,11.48,97.41,1.82,6.96,5.51,7.36,24,301575.4544,0
550.0,1.355490263,2,427.19,33.22,6.64,3.64,14.83,86.33,0.96,2.45,8.66,6.78,17,24879.27194,0
1228.38,2.657160333,3,507.16,27.96,4.99,44.5,1.51,97.53,1.91,3.79,0.17,7.71,20,424380.0744,1
854.64,1.573129987,3,411.4,45.77,1.78,77.16,12.73,88.76,1.29,3.28,3.5,3.92,47,51243.43901,1
1215.8,1.0,3,140.13,44.02,7.66,75.45,20.89,98.2,1.14,5.94,7.7,4.8,10,116035.0288,0
1094.72,1.379770353,5,798.38,27.04,3.36,36.74,28.39,87.25,1.86,3.05,0.3,4.88,27,172156.4107,1
550.0,1.0,3,572.87,6.33,6.1,37.22,3.19,93.07,1.2,6.89,9.28,9.74,24,115558.6243,0
550.0,1.0,2,664.58,24.87,4.38,71.47,18.36,95.99,2.21,3.07,6.8,7.59,15,95851.86024,1
1258.17,1.953138383,4,402.12,0.88,8.59,40.89,10.45,99.9,1.62,3.18,2.45,5.63,9,343627.3044,0
1536.79,1.0,1,551.39,41.68,6.01,103.95,63.48,93.4,1.88,3.97,0.77,3.56,8,47219.46338,0
1215.85,1.367049368,3,608.76,27.22,7.36,93.0,28.06,91.84,1.16,5.79,3.94,4.86,18,142314.4184,0
764.52,4.768663768,3,386.47,31.95,7.26,0.38,11.08,89.11,0.39,5.3,0.22,5.72,14,508015.2438,0
1008.55,2.772114469,3,1086.36,28.31,10.0,26.7,25.04,97.78,1.38,7.52,8.14,7.71,18,243140.9191,0
1615.64,1.983670774,1,335.89,53.26,6.55,24.67,8.71,92.61,1.56,0.24,3.48,3.4,19,126330.7438,1
550.0,3.818378675,2,185.8,18.59,8.56,75.0,23.3,94.46,0.56,3.34,6.18,3.82,15,181354.0317,1
718.96,3.835479015,3,786.18,44.73,4.99,42.3,31.59,97.29,1.17,5.52,9.14,7.63,37,458658.1941,1
550.0,1.697980915,3,622.44,45.71,7.18,57.65,13.26,96.1,2.68,2.91,6.65,8.58,14,202498.0362,0
966.69,1.256991893,4,583.37,33.42,6.26,19.26,16.82,97.61,1.41,4.99,1.96,3.79,8,244161.9048,0
550.0,1.0,4,173.56,36.25,6.37,36.51,4.25,80.29,1.82,3.21,7.65,6.44,21,15437.87789,0
828.63,3.500730797,3,459.08,35.9,8.72,58.92,36.29,90.56,1.35,7.06,7.28,4.67,4,453892.3027,0
1180.8,1.710408407,3,84.78,31.35,6.05,56.74,51.77,94.2,1.47,3.81,7.12,7.61,13,277909.1793,0
791.03,2.223999004,3,649.05,40.72,4.47,88.7,21.76,99.9,0.96,1.12,1.64,4.81,11,83223.89608,1
1510.32,2.480108729,3,688.98,44.06,6.23,15.78,25.66,93.37,2.0,2.58,2.49,4.2,13,262037.5921,0
550.0,1.515512591,2,683.12,65.12,4.85,6.01,25.26,85.94,1.11,1.63,2.41,4.6,16,80955.87358,0
928.34,1.952926081,2,560.91,51.95,6.11,93.4,21.25,83.87,1.37,4.15,4.83,2.02,16,44487.92053,1
1334.19,2.07090373,1,630.78,17.99,6.22,61.16,26.33,93.8,2.16,6.09,5.06,8.65,8,139876.9756,1
844.84,1.611118351,3,285.84,19.26,8.7,107.85,53.14,90.45,1.48,3.67,6.47,3.91,23,10784.92969,1
947.5,1.106837259,3,737.57,18.24,6.08,0.39,17.98,97.66,1.01,5.87,4.99,5.73,25,109759.1146,0
967.81,1.0,4,463.41,17.03,8.9,78.32,0.39,99.9,2.24,7.61,7.84,5.99,10,96095.86217,0
550.0,1.764795563,2,466.65,37.82,8.45,49.93,10.74,89.99,1.49,4.31,7.6,9.01,20,61734.36852,1
1610.1,1.343067628,1,98.2,61.7,4.85,44.86,9.59,99.9,1.81,5.64,4.54,6.46,17,116324.1925,0
1420.82,1.0,2,1096.99,34.86,5.43,89.91,21.27,97.27,0.7,3.51,4.17,3.47,18,215035.111,0
692.27,2.547622191,2,262.8,6.96,8.34,93.11,5.14,86.05,2.02,2.66,5.72,6.18,16,87740.36472,0
1331.31,1.0,4,478.28,29.82,8.66,69.64,39.17,99.53,1.35,5.39,4.42,4.76,12,120318.0878,1
1051.87,2.010965531,3,323.72,40.07,8.98,66.42,7.91,98.67,2.72,6.66,10.0,6.39,43,219410.7359,1
765.15,1.0,4,469.24,15.01,5.46,59.63,9.69,87.16,1.82,4.3,4.75,3.77,7,120806.3775,0
586.83,3.646534743,3,479.31,9.61,4.83,68.5,11.63,96.87,2.44,5.44,9.67,10.0,20,476838.5556,1
550.0,1.094424658,4,676.02,13.56,5.9,33.44,9.88,95.4,1.65,4.26,4.62,5.46,17,-1079.467194,1
1252.06,2.050969567,2,210.96,9.86,10.0,32.82,33.25,96.38,0.86,7.3,9.76,9.47,19,214123.0567,0
1129.07,1.349067904,3,198.33,63.29,6.64,72.44,29.09,88.08,0.85,0.21,5.44,5.83,22,223542.3488,0
733.29,2.586492722,2,141.91,32.07,7.93,0.89,34.86,89.35,1.9,4.78,2.97,6.41,15,184803.1917,1
1396.28,1.0,3,178.94,50.85,8.63,65.71,26.49,90.96,1.82,5.15,4.85,3.51,15,159258.5972,0
550.0,1.588792207,5,15.09,2.77,8.07,54.53,48.62,97.83,1.34,4.06,5.45,7.59,7,218811.8383,0
550.0,2.34173681,3,555.05,10.91,4.68,53.43,7.98,99.85,1.47,2.79,5.39,4.83,21,52071.15059,0
550.0,1.0,1,376.66,10.75,5.42,36.14,5.5,93.48,2.14,0.69,5.23,0.26,9,102046.909,0
701.27,1.318978184,3,118.84,40.07,7.28,112.47,29.39,96.42,1.12,8.49,5.54,7.66,11,68722.38217,1
754.91,1.0,2,619.55,40.16,6.9,8.51,0.16,99.82,1.39,5.98,9.98,7.46,26,76000.78166,0
987.69,2.700844598,2,317.43,8.22,5.37,117.41,18.55,90.96,1.44,3.63,5.8,5.35,6,282806.4098,1
707.44,1.605460192,3,1199.93,60.29,1.8,0.83,23.94,88.06,1.64,3.34,1.12,3.45,18,136972.3241,1
1068.13,1.0,1,234.66,24.13,9.12,59.27,18.62,90.44,1.41,4.09,10.0,8.96,32,67884.50486,0
879.97,1.0,1,301.8,5.09,0.29,45.91,49.81,96.85,1.98,0.22,1.27,2.26,17,145616.0687,0
550.0,1.650686336,2,797.7,19.93,2.08,121.03,31.76,96.73,1.93,3.43,4.27,6.34,38,28449.98031,0
550.0,1.0,2,579.54,36.55,4.15,67.91,27.26,90.61,1.97,4.15,2.59,5.7,22,29153.91623,0
1125.41,2.621853509,2,708.78,55.35,7.17,5.39,34.98,94.68,1.45,6.12,7.38,3.72,10,236832.6297,1
550.0,1.9158749,3,293.04,52.24,7.14,42.48,31.38,91.01,1.02,3.63,4.46,5.6,10,75593.31794,1
837.06,1.213887839,4,408.7,36.24,2.92,32.17,25.34,92.87,1.49,3.72,7.16,8.67,14,295294.0933,0
968.74,2.406639445,2,349.9,1.9,5.84,90.61,22.42,98.2,1.27,4.86,8.85,6.29,10,302987.8519,0
555.25,1.674394065,2,505.36,48.61,6.51,66.84,34.48,97.26,2.66,3.63,4.37,7.55,10,18880.02415,0
1027.76,1.0,4,890.53,35.71,5.55,131.99,18.37,85.18,1.05,4.41,3.31,3.86,16,216790.5367,0
860.71,1.0,1,546.49,45.9,5.48,14.68,41.04,92.08,1.27,2.79,0.12,4.26,14,1682.1178,1
639.73,3.408042138,1,678.62,24.76,7.21,0.88,3.75,90.82,1.78,1.95,1.71,3.65,19,38122.75421,1
661.77,2.063073535,2,42.18,21.61,6.15,29.35,35.1,95.41,1.64,5.55,6.24,6.6,18,190376.8498,0
875.41,1.236400212,4,387.68,45.34,5.72,64.21,40.46,87.91,1.66,1.62,4.25,6.89,8,272577.3158,0
1170.32,2.82962323,3,640.78,25.91,5.75,70.8,2.45,89.29,2.03,3.54,7.11,2.21,4,294950.4352,1
1092.04,1.879104679,2,898.47,36.76,8.84,12.11,14.94,99.43,1.36,5.72,3.93,5.57,16,224578.3704,1
1352.46,1.689377334,2,298.55,45.73,7.16,69.87,19.97,99.18,0.86,5.87,3.05,3.69,17,171482.0448,1
1176.45,1.830558165,4,637.57,30.14,6.2,64.66,27.46,95.18,1.62,3.6,6.68,3.88,18,439170.5462,1
550.0,2.010068151,4,315.89,25.03,6.66,79.71,12.57,93.73,1.75,4.12,9.35,6.7,11,293829.5694,1
550.0,2.188481082,2,509.05,15.73,3.92,65.38,46.02,94.83,1.71,3.7,1.33,8.11,10,18617.76424,0
815.38,1.784138127,2,640.17,19.55,4.32,83.49,0.16,91.97,1.49,3.6,4.09,3.96,20,125001.6249,0
